Time,Total Motor Energy
24.504,7620.199
24.528,7622.534
24.552,7624.809
24.576,7626.952
24.600,7629.017
24.624,7631.055
24.648,7633.067
24.672,7635.053
24.696,7637.011
24.720,7638.932
24.744,7640.809
24.768,7642.645
24.792,7644.438
24.816,7646.189
24.840,7647.899
24.864,7649.568
24.888,7651.197
24.912,7652.790
24.936,7654.345
24.960,7655.863
24.984,7657.344
25.008,7658.790
25.032,7660.198
25.056,7661.572
25.080,7662.910
25.104,7664.213
25.128,7665.483
25.152,7666.718
25.176,7667.922
25.200,7669.096
25.224,7670.187
25.248,7670.677
25.272,7670.677
25.296,7670.677
25.320,7670.677
25.344,7670.677
25.368,7670.677
25.392,7670.879
25.416,7671.174
25.440,7671.477
25.464,7671.766
25.512,7672.343
26.855,7672.343
26.880,7672.343
26.904,7689.007
26.928,7689.164
26.952,7689.682
26.976,7692.522
27.000,7697.145
27.024,7699.566
27.048,7700.424
27.072,7701.258
27.096,7702.042
27.120,7702.801
27.144,7703.534
27.168,7704.240
27.192,7704.921
27.216,7705.579
27.240,7706.214
27.264,7706.826
27.288,7707.414
27.312,7707.980
27.336,7708.521
27.360,7709.044
27.384,7709.546
27.408,7710.029
27.432,7710.493
27.456,7710.937
27.480,7711.361
27.504,7711.758
27.528,7712.000
27.552,7712.000
27.576,7712.000
27.600,7717.692
27.624,7736.078
27.648,7773.618
27.672,7815.669
27.696,7841.247
27.720,7859.923
27.744,7875.199
27.768,7890.653
27.792,7905.278
27.816,7916.477
27.840,7921.531
27.864,7924.400
27.888,7927.550
27.912,7931.258
27.936,7935.277
27.960,7939.435
27.984,7943.699
28.008,7948.031
28.032,7952.358
28.056,7956.549
28.080,7960.670
28.104,7964.722
28.128,7968.694
28.152,7972.584
28.176,7976.394
28.200,7980.198
28.224,7983.905
28.248,7987.535
28.272,7991.093
28.296,7994.557
28.320,7997.952
28.344,8001.286
28.368,8004.531
28.392,8007.723
28.416,8010.864
28.440,8013.954
28.464,8017.018
28.488,8020.041
28.512,8023.022
28.536,8025.978
28.560,8028.900
28.584,8031.756
28.608,8034.567
28.632,8037.167
28.656,8039.578
28.680,8041.865
28.704,8043.836
28.728,8044.964
28.752,8044.964
28.776,8044.964
28.800,8046.503
28.824,8053.516
28.848,8065.847
28.872,8077.404
28.896,8086.807
28.920,8094.888
28.944,8102.792
28.968,8110.423
28.992,8117.925
29.016,8125.316
29.040,8132.613
29.064,8139.821
29.088,8146.945
29.112,8153.979
29.136,8160.924
29.160,8167.883
29.184,8174.724
29.208,8181.482
29.232,8188.161
29.256,8194.744
29.280,8201.375
29.304,8208.661
29.328,8217.096
29.352,8226.833
29.376,8237.996
29.400,8251.091
29.424,8266.193
29.448,8273.459
29.472,8274.054
29.496,8277.165
29.520,8284.904
29.544,8294.143
29.568,8303.429
29.592,8312.668
29.616,8321.856
29.640,8331.030
29.664,8340.231
29.688,8349.415
29.712,8358.567
29.736,8367.771
29.760,8376.955
29.784,8386.145
29.808,8395.283
29.832,8404.331
29.856,8413.294
29.880,8422.176
29.904,8430.968
29.928,8439.658
29.952,8448.249
29.976,8456.745
30.000,8465.149
30.024,8473.466
30.048,8481.692
30.072,8489.828
30.096,8497.878
30.120,8505.839
30.144,8513.710
30.168,8521.496
30.192,8529.194
30.216,8536.804
30.240,8544.329
30.264,8551.768
30.288,8559.119
30.312,8566.387
30.336,8573.568
30.360,8580.665
30.384,8587.678
30.408,8594.606
30.432,8601.451
30.456,8608.213
30.480,8614.892
30.504,8621.487
30.528,8628.002
30.552,8634.434
30.576,8640.783
30.600,8647.050
30.624,8653.235
30.648,8659.338
30.672,8665.360
30.696,8671.301
30.720,8677.161
30.744,8682.941
30.768,8688.642
30.792,8694.263
30.816,8699.805
30.840,8705.268
30.864,8710.651
30.888,8715.958
30.912,8721.187
30.936,8726.338
30.960,8731.412
30.984,8736.409
31.008,8741.331
31.032,8746.176
31.056,8750.945
31.080,8755.641
31.104,8760.260
31.128,8764.805
31.152,8769.276
31.176,8773.678
31.200,8778.008
31.224,8782.266
31.248,8786.450
31.272,8790.563
31.296,8794.604
31.320,8798.574
31.344,8802.473
31.368,8806.301
31.392,8810.058
31.416,8813.745
31.440,8817.364
31.464,8820.912
31.488,8824.391
31.512,8827.803
31.536,8831.145
31.560,8834.418
31.584,8837.626
31.608,8840.713
31.632,8843.517
31.656,8845.104
31.680,8845.104
31.704,8845.104
31.728,8845.104
